Nama;NIM;PRODI;IPK;SKS;Kehadiran;MK_Tidak_Lulus;Status
Dewi Sari;2021402000;SISTEM INFORMASI;2.71;122;79;5;Tidak Lulus
Lestari Kusuma;2021402001;SISTEM INFORMASI;3.81;90;82;5;Tidak Lulus
Fitri Rahmawati;2021402002;SISTEM INFORMASI;3.39;108;77;3;Tidak Lulus
Dewi Susanti;2021402003;SISTEM INFORMASI;3.14;91;96;4;Tidak Lulus
Nur Azzahra;2021402004;SISTEM INFORMASI;2.3;142;82;3;Tidak Lulus
Nadya Utami;2021402005;SISTEM INFORMASI;2.3;133;54;1;Tidak Lulus
Siti Permata;2021402006;SISTEM INFORMASI;2.11;115;97;1;Tidak Lulus
Rina Kusuma;2021402007;SISTEM INFORMASI;3.65;121;68;4;Tidak Lulus
Intan Ningsih;2021402008;SISTEM INFORMASI;3.14;95;53;6;Tidak Lulus
Siti Susanti;2021402009;SISTEM INFORMASI;3.35;121;84;3;Tidak Lulus
Rina Susanti;2021402010;SISTEM INFORMASI;2.04;144;98;0;Tidak Lulus
Nadya Kusuma;2021402011;SISTEM INFORMASI;3.84;93;66;5;Tidak Lulus
Aulia Azzahra;2021402012;SISTEM INFORMASI;3.58;144;93;5;Tidak Lulus
Lestari Sari;2021402013;SISTEM INFORMASI;2.4;100;77;4;Tidak Lulus
Indah Oktaviani;2021402014;SISTEM INFORMASI;2.35;145;79;6;Tidak Lulus
Nabila Wati;2021402015;SISTEM INFORMASI;2.35;148;78;1;Tidak Lulus
Putri Pratiwi;2021402016;SISTEM INFORMASI;2.58;106;95;1;Tidak Lulus
Nabila Anggraini;2021402017;SISTEM INFORMASI;3.0;127;55;5;Tidak Lulus
Nur Kurniasih;2021402018;SISTEM INFORMASI;2.82;113;84;4;Tidak Lulus
Dewi Hidayati;2021402019;SISTEM INFORMASI;2.55;94;90;3;Tidak Lulus
Safira Ningsih;2021402020;SISTEM INFORMASI;3.16;141;86;1;Lulus
Lestari Utami;2021402021;SISTEM INFORMASI;2.27;123;73;3;Tidak Lulus
Aulia Susanti;2021402022;SISTEM INFORMASI;2.56;95;78;6;Tidak Lulus
Dewi Kurniasih;2021402023;SISTEM INFORMASI;2.7;111;98;1;Tidak Lulus
Nur Susanti;2021402024;SISTEM INFORMASI;2.87;100;95;1;Tidak Lulus
Wulan Ningsih;2021402025;SISTEM INFORMASI;3.49;137;80;2;Lulus
Safira Azzahra;2021402026;SISTEM INFORMASI;2.38;105;84;1;Tidak Lulus
Rina Permata;2021402027;SISTEM INFORMASI;2.98;122;82;0;Tidak Lulus
Aisyah Kusuma;2021402028;SISTEM INFORMASI;3.13;98;70;4;Tidak Lulus
Wulan Permata;2021402029;SISTEM INFORMASI;2.09;149;81;4;Tidak Lulus
Fitri Anggraini;2021402030;SISTEM INFORMASI;3.15;148;72;3;Tidak Lulus
Amelia Wati;2021402031;SISTEM INFORMASI;2.32;95;82;6;Tidak Lulus
Aulia Hidayati;2021402032;SISTEM INFORMASI;2.12;105;52;1;Tidak Lulus
Indah Hidayati;2021402033;SISTEM INFORMASI;3.8;118;67;0;Tidak Lulus
Safira Pratiwi;2021402034;SISTEM INFORMASI;3.83;92;74;3;Tidak Lulus
Lestari Permata;2021402035;SISTEM INFORMASI;3.54;109;91;2;Lulus
Puspita Handayani;2021402036;SISTEM INFORMASI;2.58;149;80;3;Tidak Lulus
Kartika Kusuma;2021402037;SISTEM INFORMASI;2.19;148;52;3;Tidak Lulus
Indah Sulastri;2021402038;SISTEM INFORMASI;3.3;125;89;1;Lulus
Amelia Wati;2021402039;SISTEM INFORMASI;2.84;108;95;2;Tidak Lulus
Kartika Kusuma;2021402040;SISTEM INFORMASI;2.23;115;73;3;Tidak Lulus
Nabila Utami;2021402041;SISTEM INFORMASI;2.94;92;99;0;Tidak Lulus
Fitri Utami;2021402042;SISTEM INFORMASI;2.07;108;81;0;Tidak Lulus
Nabila Kurniasih;2021402043;SISTEM INFORMASI;3.73;109;96;4;Tidak Lulus
Lestari Permata;2021402044;SISTEM INFORMASI;2.49;121;71;2;Tidak Lulus
Rina Azzahra;2021402045;SISTEM INFORMASI;3.26;96;72;2;Tidak Lulus
Nabila Pratiwi;2021402046;SISTEM INFORMASI;2.59;141;51;4;Tidak Lulus
Citra Kurniasih;2021402047;SISTEM INFORMASI;2.99;130;76;3;Tidak Lulus
Aulia Rahmawati;2021402048;SISTEM INFORMASI;3.04;122;91;2;Lulus
Lestari Rahmawati;2021402049;SISTEM INFORMASI;2.35;129;51;0;Tidak Lulus
Fitri Susanti;2021402050;SISTEM INFORMASI;3.84;128;75;0;Lulus
Kartika Wati;2021402051;SISTEM INFORMASI;3.47;107;66;1;Tidak Lulus
Melati Oktaviani;2021402052;SISTEM INFORMASI;3.79;129;89;2;Lulus
Melati Kurniasih;2021402053;SISTEM INFORMASI;3.7;90;82;3;Tidak Lulus
Safira Kusuma;2021402054;SISTEM INFORMASI;3.14;100;58;4;Tidak Lulus
Putri Febriani;2021402055;SISTEM INFORMASI;3.75;117;92;4;Tidak Lulus
Citra Permata;2021402056;SISTEM INFORMASI;2.17;146;97;3;Tidak Lulus
Aisyah Anggraini;2021402057;SISTEM INFORMASI;2.37;114;88;6;Tidak Lulus
Putri Handayani;2021402058;SISTEM INFORMASI;2.09;139;78;5;Tidak Lulus
Nadya Ningsih;2021402059;SISTEM INFORMASI;2.62;112;91;1;Tidak Lulus
Nur Kurniasih;2021402060;SISTEM INFORMASI;2.74;120;75;4;Tidak Lulus
Amelia Ningsih;2021402061;SISTEM INFORMASI;2.52;119;84;2;Tidak Lulus
Aulia Febriani;2021402062;SISTEM INFORMASI;3.57;131;99;1;Lulus
Lestari Susanti;2021402063;SISTEM INFORMASI;2.68;124;74;2;Tidak Lulus
Siti Anggraini;2021402064;SISTEM INFORMASI;2.53;96;73;6;Tidak Lulus
Kartika Wati;2021402065;SISTEM INFORMASI;3.03;149;62;0;Tidak Lulus
Nabila Anggraini;2021402066;SISTEM INFORMASI;2.27;105;56;1;Tidak Lulus
Wulan Oktaviani;2021402067;SISTEM INFORMASI;3.52;115;85;4;Tidak Lulus
Indah Sulastri;2021402068;SISTEM INFORMASI;2.14;137;94;1;Tidak Lulus
Siti Wati;2021402069;SISTEM INFORMASI;3.88;146;69;1;Tidak Lulus
Intan Handayani;2021402070;SISTEM INFORMASI;3.47;141;50;1;Tidak Lulus
Intan Anggraini;2021402071;SISTEM INFORMASI;2.38;149;57;5;Tidak Lulus
Wulan Febriani;2021402072;SISTEM INFORMASI;2.01;138;95;1;Tidak Lulus
Puspita Pratiwi;2021402073;SISTEM INFORMASI;3.55;91;65;2;Tidak Lulus
Putri Hidayati;2021402074;SISTEM INFORMASI;3.34;90;63;0;Tidak Lulus
Indah Susanti;2021402075;SISTEM INFORMASI;3.39;137;61;6;Tidak Lulus
Intan Sari;2021402076;SISTEM INFORMASI;3.47;101;72;3;Tidak Lulus
Puspita Maulida;2021402077;SISTEM INFORMASI;2.14;94;64;1;Tidak Lulus
Citra Sari;2021402078;SISTEM INFORMASI;2.68;126;77;4;Tidak Lulus
Dewi Hidayati;2021402079;SISTEM INFORMASI;2.22;121;83;1;Tidak Lulus
Wulan Kusuma;2021402080;SISTEM INFORMASI;3.64;148;51;4;Tidak Lulus
Aisyah Kusuma;2021402081;SISTEM INFORMASI;3.18;144;81;2;Lulus
Melati Permata;2021402082;SISTEM INFORMASI;2.63;98;72;4;Tidak Lulus
Nur Yuliana;2021402083;SISTEM INFORMASI;2.12;130;71;3;Tidak Lulus
Nur Susanti;2021402084;SISTEM INFORMASI;2.59;124;74;0;Tidak Lulus
Putri Rahmawati;2021402085;SISTEM INFORMASI;2.62;108;71;4;Tidak Lulus
Citra Susanti;2021402086;SISTEM INFORMASI;3.39;137;71;4;Tidak Lulus
Indah Wati;2021402087;SISTEM INFORMASI;3.21;105;98;0;Lulus
Intan Ningsih;2021402088;SISTEM INFORMASI;3.69;92;91;3;Tidak Lulus
Nadya Pratiwi;2021402089;SISTEM INFORMASI;2.9;109;55;1;Tidak Lulus
Kartika Pratiwi;2021402090;SISTEM INFORMASI;2.23;113;64;4;Tidak Lulus
Wulan Kurniasih;2021402091;SISTEM INFORMASI;3.36;143;92;0;Lulus
Safira Sulastri;2021402092;SISTEM INFORMASI;3.45;145;86;2;Lulus
Intan Sulastri;2021402093;SISTEM INFORMASI;3.07;122;82;0;Lulus
Dewi Kusuma;2021402094;SISTEM INFORMASI;3.46;113;57;2;Tidak Lulus
Fitri Permata;2021402095;SISTEM INFORMASI;2.94;141;93;3;Tidak Lulus
Nabila Sari;2021402096;SISTEM INFORMASI;2.99;100;93;1;Tidak Lulus
Melati Susanti;2021402097;SISTEM INFORMASI;2.81;138;54;0;Tidak Lulus
Fitri Azzahra;2021402098;SISTEM INFORMASI;2.05;97;88;6;Tidak Lulus
Fitri Sari;2021402099;SISTEM INFORMASI;2.2;125;53;6;Tidak Lulus
Nur Utami;2021402100;SISTEM INFORMASI;2.06;127;55;5;Tidak Lulus
Fitri Permata;2021402101;SISTEM INFORMASI;3.21;129;94;4;Tidak Lulus
Aisyah Maulida;2021402102;SISTEM INFORMASI;2.6;109;81;3;Tidak Lulus
Nur Febriani;2021402103;SISTEM INFORMASI;2.97;124;79;0;Tidak Lulus
Fitri Wati;2021402104;SISTEM INFORMASI;3.72;137;96;6;Tidak Lulus
Citra Pratiwi;2021402105;SISTEM INFORMASI;2.47;114;84;4;Tidak Lulus
Kartika Rahmawati;2021402106;SISTEM INFORMASI;2.78;124;89;6;Tidak Lulus
Melati Azzahra;2021402107;SISTEM INFORMASI;3.44;114;65;0;Tidak Lulus
Citra Kusuma;2021402108;SISTEM INFORMASI;2.43;118;62;2;Tidak Lulus
Citra Oktaviani;2021402109;SISTEM INFORMASI;2.15;107;99;0;Tidak Lulus
Rina Anggraini;2021402110;SISTEM INFORMASI;2.55;135;91;5;Tidak Lulus
Dewi Oktaviani;2021402111;SISTEM INFORMASI;2.31;107;79;0;Tidak Lulus
Safira Oktaviani;2021402112;SISTEM INFORMASI;3.77;91;68;0;Tidak Lulus
Nadya Sulastri;2021402113;SISTEM INFORMASI;3.54;143;66;5;Tidak Lulus
Aisyah Anggraini;2021402114;SISTEM INFORMASI;3.2;124;68;3;Tidak Lulus
Aisyah Kurniasih;2021402115;SISTEM INFORMASI;3.66;105;77;0;Lulus
Nabila Anggraini;2021402116;SISTEM INFORMASI;3.53;130;75;5;Tidak Lulus
Fitri Pratiwi;2021402117;SISTEM INFORMASI;2.35;125;86;4;Tidak Lulus
Rina Susanti;2021402118;SISTEM INFORMASI;3.7;122;75;2;Lulus
Aulia Rahmawati;2021402119;SISTEM INFORMASI;3.02;93;72;2;Tidak Lulus
Nadya Handayani;2021402120;SISTEM INFORMASI;3.53;122;58;0;Tidak Lulus
Lestari Sulastri;2021402121;SISTEM INFORMASI;3.7;103;61;3;Tidak Lulus
Fitri Permata;2021402122;SISTEM INFORMASI;2.6;110;50;3;Tidak Lulus
Aulia Susanti;2021402123;SISTEM INFORMASI;2.21;137;50;4;Tidak Lulus
Dewi Utami;2021402124;SISTEM INFORMASI;2.43;109;96;0;Tidak Lulus
Kartika Sari;2021402125;SISTEM INFORMASI;2.81;145;83;2;Tidak Lulus
Nur Kusuma;2021402126;SISTEM INFORMASI;3.55;97;81;3;Tidak Lulus
Indah Oktaviani;2021402127;SISTEM INFORMASI;3.64;96;97;0;Lulus
Citra Yuliana;2021402128;SISTEM INFORMASI;2.01;92;74;6;Tidak Lulus
Rina Kurniasih;2021402129;SISTEM INFORMASI;2.97;106;89;3;Tidak Lulus
Aisyah Handayani;2021402130;SISTEM INFORMASI;2.79;122;94;5;Tidak Lulus
Amelia Sari;2021402131;SISTEM INFORMASI;2.42;137;50;6;Tidak Lulus
Amelia Wati;2021402132;SISTEM INFORMASI;2.23;101;65;3;Tidak Lulus
Aulia Savitri;2021402133;SISTEM INFORMASI;2.64;148;88;2;Tidak Lulus
Nadya Susanti;2021402134;SISTEM INFORMASI;3.79;140;54;1;Tidak Lulus
Citra Rahmawati;2021402135;SISTEM INFORMASI;2.61;111;71;6;Tidak Lulus
Rina Savitri;2021402136;SISTEM INFORMASI;2.99;144;78;4;Tidak Lulus
Rina Utami;2021402137;SISTEM INFORMASI;3.34;111;52;4;Tidak Lulus
Melati Susanti;2021402138;SISTEM INFORMASI;2.69;135;61;2;Tidak Lulus
Aisyah Maulida;2021402139;SISTEM INFORMASI;3.85;119;75;3;Tidak Lulus
Aisyah Utami;2021402140;SISTEM INFORMASI;3.83;127;65;0;Tidak Lulus
Melati Yuliana;2021402141;SISTEM INFORMASI;2.48;127;86;3;Tidak Lulus
Intan Febriani;2021402142;SISTEM INFORMASI;2.94;134;71;2;Tidak Lulus
Indah Utami;2021402143;SISTEM INFORMASI;2.57;140;78;4;Tidak Lulus
Intan Permata;2021402144;SISTEM INFORMASI;2.54;143;63;3;Tidak Lulus
Indah Permata;2021402145;SISTEM INFORMASI;2.07;97;77;4;Tidak Lulus
Puspita Permata;2021402146;SISTEM INFORMASI;3.16;116;54;6;Tidak Lulus
Fitri Kurniasih;2021402147;SISTEM INFORMASI;2.96;116;96;0;Tidak Lulus
Dewi Azzahra;2021402148;SISTEM INFORMASI;2.1;123;98;6;Tidak Lulus
Fitri Azzahra;2021402149;SISTEM INFORMASI;2.53;110;79;4;Tidak Lulus
